day,distance
2015-01-02,17
2015-01-03,23.5
2015-01-04,9
2015-01-06,19
2015-01-07,16
2015-01-09,18
2015-01-15,18.5
2015-01-18,12.5
2015-01-19,14.2
2015-01-19,13
2015-01-26,15
2015-01-28,10.4
2015-01-29,12.5
2015-01-31,10.7
2015-02-02,12.4
2015-02-09,11.6
2015-02-11,10.6
2015-02-13,16.8
2015-02-14,10.3
2015-02-16,20
2015-02-18,11.6
2015-02-19,10.5
2015-02-20,5
2015-02-21,16.9
2015-02-23,12.9
2015-02-24,11.4
2015-02-27,20.8
2015-03-01,15.9
2015-03-02,13.6
2015-03-03,16.7
2015-03-04,18.7
2015-03-05,14.8
2015-03-08,8.6
2015-03-09,14.6
2015-03-20,15.4
2015-03-23,9.8
2015-03-24,6.8
2015-03-26,15.4
2015-03-27,15.2
2015-03-28,9.6
2015-03-30,11.3
2015-03-31,14.9
2015-04-01,8
2015-04-03,17.8
2015-04-04,13.5
2015-04-06,11
2015-04-08,9.3
2015-04-10,17.2
2015-04-12,11.1
2015-04-13,12.7
2015-04-14,6.6
2015-04-15,14.7
2015-04-16,17.5
2015-04-17,16.1
2015-04-20,12.5
2015-04-21,13.3
2015-04-22,10.7
2015-04-23,18.7
2015-04-24,10.3
2015-04-25,12.6
2015-04-26,3
2015-04-27,11.3
2015-04-29,10.3
2015-04-30,16
2015-05-01,11.1
2015-05-02,10.3
2015-05-04,15.5
2015-05-05,15.5
2015-05-07,5.6
2015-05-08,10.3
2015-05-10,17.3
2015-05-11,16
2015-05-12,10.1
2015-05-13,19
2015-05-15,14.8
2015-05-18,15.2
2015-05-19,10.6
2015-05-20,10.2
2015-05-23,10.9
2015-05-25,12.5
2015-05-27,11
2015-05-29,12.4
2015-05-30,12
2015-05-31,9.2
2015-06-01,19
2015-06-02,9.2
2015-06-03,13.6
2015-06-05,19.2
2015-06-07,12.4
2015-06-11,18
2015-06-13,9.3
2015-06-14,15.9
2015-06-15,19
2015-06-17,12.3
2015-06-18,9.2
2015-06-20,11.9
2015-06-21,4.7
2015-06-23,14.9
2015-06-25,18.9
2015-06-29,15.2
2015-07-01,23
2015-07-03,18.8
2015-07-04,17.5
2015-07-06,11.5
2015-07-08,9.3
2015-07-10,15
2015-07-12,14.9
2015-07-13,19
2015-07-15,16
2015-07-17,16.2
2015-07-18,16.5
2015-07-20,16
2015-07-22,13.7
2015-07-24,12.5
2015-07-25,12.2
2015-07-26,8.2
2015-07-27,11.2
2015-07-30,7.5
2015-08-02,15
2015-08-06,16.6
2015-08-07,16
2015-08-09,8
2015-08-10,12.3
2015-08-12,11.3
2015-08-13,14
2015-08-14,14.5
2015-08-16,25.3
2015-08-17,13.7
2015-08-18,9.3
2015-08-20,10.6
2015-08-21,11.1
2015-08-22,16.1
2015-08-24,11.6
2015-08-25,15.5
2015-08-26,13
2015-08-28,11.7
2015-08-29,8.6
2015-08-31,15.2
2015-09-01,11.4
2015-09-02,14.4
2015-09-04,13.6
2015-09-06,11
2015-09-13,13.5
2015-09-15,12.3
2015-09-17,11.2
2015-09-18,16.6
2015-09-19,13.3
2015-09-25,16.8
2015-10-01,15
2015-10-02,21.3
2015-10-05,12.3
2015-10-06,15
2015-10-12,14.7
2015-10-15,13.5
2015-10-16,13.4
2015-10-17,14
2015-10-18,12.9
2015-10-19,14.2
2015-10-20,13.6
2015-10-22,11.2
2015-10-23,13
2015-10-24,16.5
2015-10-26,12
2015-10-28,11.5
2015-10-30,14
2015-11-01,12.3
2015-11-03,12.6
2015-11-06,17.1
2015-11-09,11.2
2015-11-11,10.6
2015-11-17,17.2
2015-11-20,13.5
2015-11-22,8.1
2015-11-26,15
2015-11-29,16.3
2015-12-04,10.2
2015-12-06,10.9
2015-12-08,9.4
2015-12-11,12.4
2015-12-16,16.2
2015-12-18,14.2
2015-12-23,17.8
2015-12-29,12.4
2015-12-30,11.5
