date,cycling_mi
2021-05-11,11.0
2021-05-08,12.7
2021-05-05,13.4
2021-05-04,17.8
2021-05-03,12.1
2021-05-01,12.8
2021-04-28,6.8
2021-04-27,13.3
2021-04-22,16.6
2021-04-20,13.3
2021-04-18,11.1
2021-04-15,12.6
2021-04-14,15.1
2021-04-13,13.9
2021-04-12,18.1
2021-04-11,17.1
2021-04-10,13.2
2021-04-08,19.1
2021-04-06,14.4
2021-04-05,17.7
2021-04-04,12.3
2021-04-03,12.5
2021-04-01,17.5
2021-03-31,20.1
2021-03-29,13.0
2021-03-28,13.5
2021-03-26,16.5
2021-03-23,12.3
2021-03-22,13.8
2021-03-21,15.4
2021-03-12,15.4
2021-03-07,12.0
2021-03-04,12.6
2021-03-03,19.0
2021-03-02,10.2
2021-02-28,15.4
2021-02-26,14.2
2021-02-24,17.2
2021-02-23,15.0
2021-02-22,12.4
2021-02-18,12.9
2021-02-12,14.1
2021-02-10,16.0
2021-02-09,10.1
2021-02-06,18.1
2021-02-05,15.9
2021-02-03,10.1
2021-02-01,13.0
2021-01-26,10.1
2021-01-24,9.6
2021-01-20,12.2
2021-01-18,15.6
2021-01-16,15.3
2021-01-15,20.5
2021-01-14,15.1
2021-01-13,13.2
2021-01-08,12.7
2021-01-06,15.2
2021-01-04,12.6
2020-12-31,11.5
2020-12-23,12.5
2020-12-21,15.2
2020-12-18,12.2
2020-12-13,12.2
2020-12-12,8.2
2020-12-10,15.2
2020-12-08,9.1
2020-12-07,11.8
2020-12-02,15.2
2020-11-30,7.7
2020-11-28,16.0
2020-11-27,15.2
2020-11-25,12.5
2020-11-24,6.4
2020-11-23,14.3
2020-11-19,15.3
2020-11-15,15.6
2020-11-12,10.6
2020-11-10,14.6
2020-11-05,10.1
2020-11-04,13.8
2020-11-01,10.6
2020-10-30,13.2
2020-10-29,10.0
2020-10-28,16.1
2020-10-26,16.2
2020-10-24,15.6
2020-10-22,12.6
2020-10-21,16.1
2020-10-20,12.6
2020-10-19,13.3
2020-10-18,15.6
2020-10-17,15.8
2020-10-16,18.2
2020-10-15,17.2
2020-10-14,16.1
2020-10-11,11.8
2020-10-09,14.5
2020-10-08,15.2
2020-10-06,14.5
2020-10-05,12.5
2020-10-02,13.2
2020-09-30,15.3
2020-09-27,14.0
2020-09-25,15.2
2020-09-24,14.5
2020-09-20,11.6
2020-09-18,16.1
2020-09-16,21.1
2020-09-13,5.0
2020-09-11,16.9
2020-09-10,14.4
2020-09-07,12.2
2020-09-04,30.3
2020-09-03,18.0
2020-09-02,15.5
2020-09-01,20.0
2020-08-31,12.5
2020-08-30,14.9
2020-08-29,14.9
2020-08-28,20.6
2020-08-27,12.3
2020-08-25,14.5
2020-08-24,10.2
2020-08-22,20.0
2020-08-21,12.6
