date,actcal,active1,active2,active3,biking,calories,date,dist_aw,distance,margcal,sedentary,steps,steps_aw,weight
2012-11-01, 945, 478, 0, 0, NA, 2087, 2012-11-01, NA, 5.22, 0, 962, 10663, NA, 0
2012-11-02, 1320, 601, 0, 0, 15.3, 2316, 2012-11-02, NA, 5.43, 0, 839, 11085, NA, 0
2012-11-03, 1372, 508, 0, 0, NA, 2479, 2012-11-03, NA, 8.46, 508, 932, 17284, NA, 0
2012-11-04, 1239, 548, 0, 0, 10.5, 2298, 2012-11-04, NA, 5.41, 0, 892, 11044, NA, 0
2012-11-05, 0, 0, 0, 0, NA, 1976, 2012-11-05, NA, 4.96, 0, 1440, 10131, NA, 0
2012-11-06, 0, 0, 0, 0, NA, 1645, 2012-11-06, NA, 2.05, 0, 1440, 4180, NA, 0
2012-11-07, 0, 0, 0, 0, NA, 1818, 2012-11-07, NA, 2.62, 0, 1440, 5355, NA, 0
2012-11-08, 0, 0, 0, 0, NA, 1839, 2012-11-08, NA, 2.6, 0, 1440, 5320, NA, 0
2012-11-09, 1060, 467, 0, 0, NA, 2215, 2012-11-09, NA, 4.83, 0, 973, 9869, NA, 0
2012-11-10, 1082, 476, 0, 0, NA, 2227, 2012-11-10, NA, 6.29, 0, 964, 12846, NA, 0
2012-11-11, 1045, 426, 0, 0, NA, 2249, 2012-11-11, NA, 6.21, 0, 1014, 12690, NA, 0
2012-11-12, 1152, 607, 0, 0, 9.0, 2141, 2012-11-12, NA, 4.69, 0, 833, 9576, NA, 0
2012-11-13, 0, 0, 0, 0, NA, 1952, 2012-11-13, NA, 4.19, 0, 1440, 8550, NA, 0
2012-11-14, 0, 0, 0, 0, NA, 1919, 2012-11-14, NA, 3.92, 0, 1440, 8005, NA, 0
2012-11-15, 0, 0, 0, 0, NA, 1697, 2012-11-15, NA, 2.18, 0, 1440, 4447, NA, 0
2012-11-16, 1167, 498, 0, 0, NA, 2286, 2012-11-16, NA, 7.32, 0, 942, 14956, NA, 0
2012-11-17, 1204, 565, 0, 0, NA, 2243, 2012-11-17, NA, 6.24, 0, 875, 12734, NA, 0
2012-11-18, 1276, 602, 0, 0, 7.0, 2271, 2012-11-18, NA, 5.76, 0, 838, 11758, NA, 0
2012-11-19, 947, 525, 0, 0, 16.1, 2034, 2012-11-19, NA, 3.5, 0, 915, 7150, NA, 0
2012-11-20, 1414, 595, 0, 0, NA, 2417, 2012-11-20, NA, 4.3, 0, 845, 8774, NA, 0
2012-11-21, 1290, 552, 0, 0, 16.0, 2344, 2012-11-21, NA, 6.26, 0, 888, 12793, NA, 0
2012-11-22, 1626, 626, 0, 0, 10.0, 2593, 2012-11-22, NA, 8.33, 626, 814, 17017, NA, 0
2012-11-23, 1457, 619, 0, 0, NA, 2432, 2012-11-23, NA, 7.32, 0, 821, 14945, NA, 0
2012-11-24, 1455, 564, 0, 0, NA, 2495, 2012-11-24, NA, 8.56, 564, 876, 17487, NA, 0
2012-11-25, 1182, 477, 0, 0, NA, 2326, 2012-11-25, NA, 6.35, 0, 963, 12971, NA, 0
2012-11-26, 1117, 541, 0, 0, 16.1, 2185, 2012-11-26, NA, 4.43, 0, 899, 9042, NA, 0
2012-11-27, 1003, 518, 0, 0, NA, 2098, 2012-11-27, NA, 5.13, 0, 922, 10475, NA, 0
2012-11-28, 0, 0, 0, 0, NA, 2031, 2012-11-28, NA, 4.74, 0, 1440, 9689, NA, 0
2012-11-29, 0, 0, 0, 0, NA, 1995, 2012-11-29, NA, 4.17, 0, 1440, 8525, NA, 0
2012-11-30, 1036, 489, 0, 0, NA, 2165, 2012-11-30, NA, 4.86, 0, 951, 9923, NA, 0
2012-12-01, 1375, 600, 0, 0, NA, 2372, 2012-12-01, NA, 6.86, 0, 840, 14008, NA, 0
2012-12-02, 1086, 433, 0, 0, NA, 2282, 2012-12-02, NA, 6.07, 433, 1007, 12401, NA, 0
2012-12-03, 0, 0, 0, 0, NA, 1793, 2012-12-03, NA, 2.32, 0, 1440, 4746, NA, 0
2012-12-04, 0, 0, 0, 0, NA, 1892, 2012-12-04, NA, 4.58, 0, 1440, 9346, NA, 0
2012-12-05, 0, 0, 0, 0, NA, 2035, 2012-12-05, NA, 5.86, 0, 1440, 11970, NA, 0
2012-12-06, 0, 0, 0, 0, NA, 1808, 2012-12-06, NA, 3.43, 0, 1440, 7003, NA, 0
2012-12-07, 0, 0, 0, 0, NA, 1921, 2012-12-07, NA, 3.16, 0, 1440, 6450, NA, 0
2012-12-08, 1508, 589, 0, 0, 15.0, 2518, 2012-12-08, NA, 8.07, 589, 851, 16480, NA, 0
2012-12-09, 0, 0, 0, 0, NA, 1957, 2012-12-09, NA, 3.8, 0, 1440, 7761, NA, 0
2012-12-10, 0, 0, 0, 0, NA, 1971, 2012-12-10, NA, 5.22, 0, 1440, 10665, NA, 0
2012-12-11, 0, 0, 0, 0, NA, 1759, 2012-12-11, NA, 2.52, 0, 1440, 5146, NA, 0
2012-12-12, 1178, 583, 0, 0, NA, 2196, 2012-12-12, NA, 6.08, 0, 857, 12427, NA, 0
2012-12-13, 1100, 518, 0, 0, NA, 2195, 2012-12-13, NA, 5.84, 0, 922, 11926, NA, 190
2012-12-14, 0, 0, 0, 0, NA, 2037, 2012-12-14, NA, 4.54, 0, 1440, 9279, NA, 189
2012-12-15, 1135, 449, 0, 0, NA, 2312, 2012-12-15, NA, 8.31, 449, 991, 16966, NA, 190
2012-12-16, 1442, 498, 0, 0, NA, 2558, 2012-12-16, NA, 9.47, 498, 942, 19332, NA, 0
2012-12-17, 0, 0, 0, 0, NA, 2008, 2012-12-17, NA, 4.79, 0, 1440, 9788, NA, 188.4
2012-12-18, 1123, 628, 0, 0, 10.0, 2080, 2012-12-18, NA, 4.18, 0, 812, 8541, NA, 187.1
2012-12-19, 1404, 632, 0, 0, NA, 2355, 2012-12-19, NA, 7.65, 0, 808, 15614, NA, 186.8
2012-12-20, 0, 0, 0, 0, NA, 2040, 2012-12-20, NA, 6.83, 0, 1440, 13955, NA, 186.9
2012-12-21, 1391, 676, 0, 0, NA, 2290, 2012-12-21, NA, 7.46, 0, 764, 15227, NA, 0
2012-12-22, 1483, 635, 0, 0, NA, 2430, 2012-12-22, NA, 8.6, 0, 805, 17566, NA, 186.4
2012-12-23, 1190, 553, 0, 0, NA, 2238, 2012-12-23, NA, 6.71, 0, 887, 13701, NA, 188.1
2012-12-24, 1594, 651, 0, 0, 16.8, 2522, 2012-12-24, NA, 8.24, 0, 789, 16835, NA, 186.5
2012-12-25, 1094, 518, 0, 0, NA, 2176, 2012-12-25, NA, 6.14, 0, 922, 12530, NA, 185.4
2012-12-26, 1243, 603, 0, 0, NA, 2230, 2012-12-26, NA, 7.91, 0, 837, 16163, NA, 187.5
2012-12-27, 1326, 624, 0, 0, 13.2, 2283, 2012-12-27, NA, 6.67, 0, 816, 13623, NA, 185.4
2012-12-28, 1214, 641, 0, 0, NA, 2148, 2012-12-28, NA, 6.08, 0, 799, 12422, NA, 184.2
2012-12-29, 1543, 657, 0, 0, NA, 2462, 2012-12-29, NA, 13.4, 0, 783, 27365, NA, 0
2012-12-30, 1414, 523, 0, 0, 12.2, 2491, 2012-12-30, NA, 8.27, 523, 917, 16880, NA, 0
2012-12-31, 1177, 575, 0, 0, 11.3, 2196, 2012-12-31, NA, 5.79, 0, 865, 11819, NA, 186.8
2013-01-01, 1269, 540, 0, 0, NA, 2322, 2013-01-01, NA, 7.74, 0, 900, 15798, NA, 184.5
2013-01-02, 0, 0, 0, 0, 10.0, 2015, 2013-01-02, NA, 4.72, 0, 1440, 9642, NA, 184.2
2013-01-03, 0, 0, 0, 0, NA, 1977, 2013-01-03, NA, 4.92, 0, 1440, 10049, NA, 184.2
2013-01-04, 1225, 670, 0, 0, NA, 2125, 2013-01-04, NA, 6.92, 0, 770, 14136, NA, 183.9
2013-01-05, 1320, 680, 0, 0, NA, 2209, 2013-01-05, NA, 6.67, 0, 760, 13624, NA, 184.5
2013-01-06, 1262, 525, 0, 0, NA, 2336, 2013-01-06, NA, 7.55, 0, 915, 15426, NA, 185.4
2013-01-07, 1001, 548, 0, 0, 16.1, 2044, 2013-01-07, NA, 4.28, 0, 892, 8749, NA, 184.2
