distance,steps,weight,active1,active2,active3,sedentary,calories,actcal,biking,date,month,year
5.22,10663,0,478,0,0,962,2087,945,0.0,2012-11-01,11,2012
5.43,11085,0,601,0,0,839,2316,1320,15.3,2012-11-02,11,2012
8.46,17284,0,508,0,0,932,2479,1372,0.0,2012-11-03,11,2012
5.41,11044,0,548,0,0,892,2298,1239,10.5,2012-11-04,11,2012
4.96,10131,0,0,0,0,1440,1976,0,0.0,2012-11-05,11,2012
2.05,4180,0,0,0,0,1440,1645,0,0.0,2012-11-06,11,2012
2.62,5355,0,0,0,0,1440,1818,0,0.0,2012-11-07,11,2012
2.6,5320,0,0,0,0,1440,1839,0,0.0,2012-11-08,11,2012
4.83,9869,0,467,0,0,973,2215,1060,0.0,2012-11-09,11,2012
6.29,12846,0,476,0,0,964,2227,1082,0.0,2012-11-10,11,2012
6.21,12690,0,426,0,0,1014,2249,1045,0.0,2012-11-11,11,2012
4.69,9576,0,607,0,0,833,2141,1152,9.0,2012-11-12,11,2012
4.19,8550,0,0,0,0,1440,1952,0,0.0,2012-11-13,11,2012
3.92,8005,0,0,0,0,1440,1919,0,0.0,2012-11-14,11,2012
2.18,4447,0,0,0,0,1440,1697,0,0.0,2012-11-15,11,2012
7.32,14956,0,498,0,0,942,2286,1167,0.0,2012-11-16,11,2012
6.24,12734,0,565,0,0,875,2243,1204,0.0,2012-11-17,11,2012
5.76,11758,0,602,0,0,838,2271,1276,7.0,2012-11-18,11,2012
3.5,7150,0,525,0,0,915,2034,947,16.1,2012-11-19,11,2012
4.3,8774,0,595,0,0,845,2417,1414,0.0,2012-11-20,11,2012
6.26,12793,0,552,0,0,888,2344,1290,16.0,2012-11-21,11,2012
8.33,17017,0,626,0,0,814,2593,1626,10.0,2012-11-22,11,2012
7.32,14945,0,619,0,0,821,2432,1457,0.0,2012-11-23,11,2012
8.56,17487,0,564,0,0,876,2495,1455,0.0,2012-11-24,11,2012
6.35,12971,0,477,0,0,963,2326,1182,0.0,2012-11-25,11,2012
4.43,9042,0,541,0,0,899,2185,1117,16.1,2012-11-26,11,2012
5.13,10475,0,518,0,0,922,2098,1003,0.0,2012-11-27,11,2012
4.74,9689,0,0,0,0,1440,2031,0,0.0,2012-11-28,11,2012
4.17,8525,0,0,0,0,1440,1995,0,0.0,2012-11-29,11,2012
4.86,9923,0,489,0,0,951,2165,1036,0.0,2012-11-30,11,2012
6.86,14008,0,600,0,0,840,2372,1375,0.0,2012-12-01,12,2012
6.07,12401,0,433,0,0,1007,2282,1086,0.0,2012-12-02,12,2012
2.32,4746,0,0,0,0,1440,1793,0,0.0,2012-12-03,12,2012
4.58,9346,0,0,0,0,1440,1892,0,0.0,2012-12-04,12,2012
5.86,11970,0,0,0,0,1440,2035,0,0.0,2012-12-05,12,2012
3.43,7003,0,0,0,0,1440,1808,0,0.0,2012-12-06,12,2012
3.16,6450,0,0,0,0,1440,1921,0,0.0,2012-12-07,12,2012
8.07,16480,0,589,0,0,851,2518,1508,15.0,2012-12-08,12,2012
3.8,7761,0,0,0,0,1440,1957,0,0.0,2012-12-09,12,2012
5.22,10665,0,0,0,0,1440,1971,0,0.0,2012-12-10,12,2012
2.52,5146,0,0,0,0,1440,1759,0,0.0,2012-12-11,12,2012
6.08,12427,0,583,0,0,857,2196,1178,0.0,2012-12-12,12,2012
5.84,11926,190,518,0,0,922,2195,1100,0.0,2012-12-13,12,2012
4.54,9279,189,0,0,0,1440,2037,0,0.0,2012-12-14,12,2012
8.31,16966,190,449,0,0,991,2312,1135,0.0,2012-12-15,12,2012
9.47,19332,0,498,0,0,942,2558,1442,0.0,2012-12-16,12,2012
4.79,9788,188.4,0,0,0,1440,2008,0,0.0,2012-12-17,12,2012
4.18,8541,187.1,628,0,0,812,2080,1123,10.0,2012-12-18,12,2012
7.65,15614,186.8,632,0,0,808,2355,1404,0.0,2012-12-19,12,2012
6.83,13955,186.9,0,0,0,1440,2040,0,0.0,2012-12-20,12,2012
7.46,15227,0,676,0,0,764,2290,1391,0.0,2012-12-21,12,2012
8.6,17566,186.4,635,0,0,805,2430,1483,0.0,2012-12-22,12,2012
6.71,13701,188.1,553,0,0,887,2238,1190,0.0,2012-12-23,12,2012
8.24,16835,186.5,651,0,0,789,2522,1594,16.8,2012-12-24,12,2012
6.14,12530,185.4,518,0,0,922,2176,1094,0.0,2012-12-25,12,2012
7.91,16163,187.5,603,0,0,837,2230,1243,0.0,2012-12-26,12,2012
6.67,13623,185.4,624,0,0,816,2283,1326,13.2,2012-12-27,12,2012
6.08,12422,184.2,641,0,0,799,2148,1214,0.0,2012-12-28,12,2012
13.4,27365,0,657,0,0,783,2462,1543,0.0,2012-12-29,12,2012
8.27,16880,0,523,0,0,917,2491,1414,12.2,2012-12-30,12,2012
5.79,11819,186.8,575,0,0,865,2196,1177,11.3,2012-12-31,12,2012
7.74,15798,184.5,540,0,0,900,2322,1269,0.0,2013-01-01,1,2013
4.72,9642,184.2,0,0,0,1440,2015,0,10.0,2013-01-02,1,2013
4.92,10049,184.2,0,0,0,1440,1977,0,0.0,2013-01-03,1,2013
6.92,14136,183.9,670,0,0,770,2125,1225,0.0,2013-01-04,1,2013
6.67,13624,184.5,680,0,0,760,2209,1320,0.0,2013-01-05,1,2013
7.55,15426,185.4,525,0,0,915,2336,1262,0.0,2013-01-06,1,2013
4.28,8749,184.2,548,0,0,892,2044,1001,16.1,2013-01-07,1,2013
5.61,11459,182.8,0,0,0,1440,2044,0,6.0,2013-01-08,1,2013
4.76,9729,183.3,0,0,0,1440,2018,0,0.0,2013-01-09,1,2013
5.01,10232,182.3,0,0,0,1440,2011,0,10.0,2013-01-10,1,2013
6.18,12628,181.1,657,0,0,783,2179,1271,0.0,2013-01-11,1,2013
9,18390,0,622,0,0,818,2471,1520,0.0,2013-01-12,1,2013
6.16,12581,0,494,0,0,946,2143,1042,0.0,2013-01-13,1,2013
4.82,9844,183.3,0,0,0,1440,2032,0,0.0,2013-01-14,1,2013
5.42,11077,181.9,651,0,0,789,2125,1208,12.1,2013-01-15,1,2013
6.56,13390,181.5,611,0,0,829,2112,1150,0.0,2013-01-16,1,2013
4.52,9224,182.1,639,0,0,801,2056,1125,16.5,2013-01-17,1,2013
3.94,8054,182.1,0,0,0,1440,2005,0,0.0,2013-01-18,1,2013
8.32,17001,182.5,569,0,0,871,2323,1309,0.0,2013-01-19,1,2013
