day,temp,humid,rain,wind,cond
2014-01-01,62.1,34.0,0,1,Mostly Cloudy
2014-01-02,64.9,32.0,0,1,Scattered Clouds
2014-01-03,64.0,30.0,0,6.9,Mostly Cloudy
2014-01-04,66.0,32.0,0,4.6,Partly Cloudy
2014-01-05,66.0,23.0,0,1,Partly Cloudy
2014-01-06,61.0,35.0,0,5.8,Mostly Cloudy
2014-01-07,62.1,37.0,0,4.6,Scattered Clouds
2014-01-08,57.9,67.0,0,8.1,Mostly Cloudy
2014-01-09,57.9,70.0,0,6.9,Mostly Cloudy
2014-01-10,62.1,53.0,0,5.8,Mostly Cloudy
2014-01-11,59.0,64.0,0,1,Overcast
2014-01-12,59.0,46.0,0,13.8,Partly Cloudy
2014-01-13,66.9,26.0,0,1,Clear
2014-01-14,75.0,12.0,0,12.7,Clear
2014-01-15,71.1,20.0,0,4.6,Partly Cloudy
2014-01-16,72.0,22.0,0,5.8,Clear
2014-01-17,68.0,24.0,0,5.8,Clear
2014-01-18,70.0,23.0,0,3.5,Clear
2014-01-19,68.0,24.0,0,4.6,Partly Cloudy
2014-01-20,69.1,23.0,0,3.5,Partly Cloudy
2014-01-21,66.9,23.0,0,4.6,Mostly Cloudy
2014-01-22,72.0,15.0,0,6.9,Clear
2014-01-23,66.9,24.0,0,5.8,Clear
2014-01-24,64.9,40.0,0,3.5,Mostly Cloudy
2014-01-25,71.1,26.0,0,5.8,Scattered Clouds
2014-01-26,71.1,23.0,0,6.9,Scattered Clouds
2014-01-27,63.0,48.0,0,8.1,Overcast
2014-01-28,66.0,63.0,0,11.5,Mostly Cloudy
2014-01-29,68.0,68.0,0,6.9,Mostly Cloudy
2014-01-30,60.1,62.0,0,9.2,Scattered Clouds
2014-01-31,59.0,35.0,0,9.2,Scattered Clouds
2014-02-01,60.1,22.0,0,8.1,Partly Cloudy
2014-02-02,54.0,59.0,0.02,11.5,Overcast
2014-02-03,55.9,51.0,0,15.0,Scattered Clouds
2014-02-04,54.0,49.0,0,9.2,Mostly Cloudy
2014-02-05,57.0,44.0,0,4.6,Mostly Cloudy
2014-02-06,54.0,72.0,0.02,4.6,Overcast
2014-02-07,54.0,80.0,0.03,9.2,Overcast
2014-02-08,61.0,75.0,0,17.3,Overcast
2014-02-09,62.1,75.0,0.04,11.5,Overcast
2014-02-10,60.1,75.0,0,8.1,Mostly Cloudy
2014-02-11,61.0,58.0,0,10.4,Mostly Cloudy
2014-02-12,62.1,48.0,0,8.1,Overcast
2014-02-13,68.0,61.0,0,11.5,Scattered Clouds
2014-02-14,63.0,65.0,0,6.9,Mostly Cloudy
2014-02-15,62.1,70.0,0,12.7,Overcast
2014-02-16,63.0,34.0,0,11.5,Scattered Clouds
2014-02-17,60.1,46.0,0,12.7,Overcast
2014-02-18,63.0,40.0,0,8.1,Mostly Cloudy
2014-02-19,63.0,48.0,0,13.8,Scattered Clouds
2014-02-20,66.0,29.0,0,11.5,Mostly Cloudy
2014-02-21,71.1,24.0,0,11.5,Partly Cloudy
2014-02-22,70.0,26.0,0,8.1,Mostly Cloudy
2014-02-23,68.0,36.0,0,11.5,Clear
2014-02-24,73.0,33.0,0,9.2,Scattered Clouds
2014-02-25,64.0,52.0,0,6.9,Mostly Cloudy
2014-02-26,61.0,75.0,0.23,17.3,Overcast
2014-02-27,64.9,48.0,0,12.7,Mostly Cloudy
2014-02-28,60.1,60.0,0.06,18.4,Mostly Cloudy
2014-03-01,64.9,56.0,0,18.4,Light Rain
2014-03-02,62.6,72.0,0,8.1,Mostly Cloudy
2014-03-03,61.0,60.0,0,6.9,Overcast
2014-03-04,66.0,63.0,0,5.8,Overcast
2014-03-05,71.1,49.0,0,9.2,Overcast
2014-03-06,66.0,48.0,0.01,12.7,Mostly Cloudy
2014-03-07,66.9,42.0,0,8.1,Scattered Clouds
2014-03-08,73.0,34.0,0,6.9,Mostly Cloudy
2014-03-09,81.0,15.0,0,8.1,Mostly Cloudy
2014-03-10,68.0,45.0,0,13.8,Scattered Clouds
2014-03-11,70.0,23.0,0,15.0,Partly Cloudy
2014-03-12,77.0,16.0,0,11.5,Partly Cloudy
2014-03-13,77.0,11.0,0,10.4,Partly Cloudy
2014-03-14,71.1,32.0,0,10.4,Clear
2014-03-15,78.1,29.0,0,12.7,Clear
2014-03-16,77.0,19.0,0,9.2,Mostly Cloudy
2014-03-17,68.0,37.0,0,13.8,Scattered Clouds
2014-03-18,71.1,21.0,0,13.8,Partly Cloudy
2014-03-19,75.0,22.0,0,6.9,Mostly Cloudy
2014-03-20,73.9,27.0,0,15.0,Mostly Cloudy
2014-03-21,69.1,38.0,0,6.9,Scattered Clouds
2014-03-22,70.0,36.0,0,1,Partly Cloudy
2014-03-23,69.1,39.0,0,9.2,Clear
2014-03-24,75.0,22.0,0,13.8,Partly Cloudy
2014-03-25,66.0,48.0,0.02,3.5,Light Rain
2014-03-26,62.1,56.0,0.02,15.0,Mostly Cloudy
2014-03-27,64.9,48.0,0,9.2,Mostly Cloudy
2014-03-28,69.1,42.0,0,1,Mostly Cloudy
2014-03-29,63.0,67.0,0.17,11.5,Overcast
2014-03-30,61.0,52.0,0,16.1,Mostly Cloudy
2014-03-31,57.0,53.0,0.16,15.0,Overcast
2014-04-01,57.0,57.0,0.07,10.4,Overcast
2014-04-02,60.1,51.0,0,12.7,Scattered Clouds
2014-04-03,64.9,42.0,0,5.8,Mostly Cloudy
2014-04-04,60.1,53.0,0.04,16.1,Mostly Cloudy
2014-04-05,66.9,42.0,0,9.2,Partly Cloudy
2014-04-06,75.9,37.0,0,12.7,Scattered Clouds
2014-04-07,82.0,35.0,0,8.1,Partly Cloudy
2014-04-08,86.0,31.0,0,9.2,Mostly Cloudy
2014-04-09,73.9,41.0,0,11.5,Scattered Clouds
2014-04-10,79.0,23.0,0,5.8,Partly Cloudy
2014-04-11,69.1,58.0,0,8.1,Mostly Cloudy
2014-04-12,71.1,42.0,0,11.5,Clear
2014-04-13,73.9,41.0,0,9.2,Partly Cloudy
2014-04-14,75.0,26.0,0,9.2,Scattered Clouds
2014-04-15,72.0,49.0,0,10.4,Partly Cloudy
2014-04-16,79.0,31.0,0,12.7,Mostly Cloudy
2014-04-17,72.0,49.0,0,6.9,Scattered Clouds
2014-04-18,69.1,54.0,0,12.7,Mostly Cloudy
2014-04-19,69.1,36.0,0,12.7,Scattered Clouds
2014-04-20,80.1,28.0,0,9.2,Partly Cloudy
2014-04-21,72.0,35.0,0,3.5,Overcast
2014-04-22,64.0,34.0,0,18.4,Partly Cloudy
2014-04-23,66.0,34.0,0,16.1,Scattered Clouds
2014-04-24,66.9,52.0,0,12.7,Mostly Cloudy
2014-04-25,60.1,62.0,0.03,9.2,Overcast
2014-04-26,62.1,39.0,0,17.3,Mostly Cloudy
2014-04-27,66.0,50.0,0,11.5,Scattered Clouds
2014-04-28,72.0,37.0,0,13.8,Scattered Clouds
2014-04-29,86.0,20.0,0,10.4,Scattered Clouds
2014-04-30,91.0,19.0,0,11.5,Scattered Clouds
2014-05-01,90.0,20.0,0,9.2,Mostly Cloudy
2014-05-02,84.0,21.0,0,12.7,Mostly Cloudy
2014-05-03,68.0,47.0,0,16.1,Mostly Cloudy
2014-05-04,70.0,47.0,0,13.8,Mostly Cloudy
2014-05-05,66.2,43.0,0,16.1,Scattered Clouds
